System information:
Version                                  | VisiWin7 7.2
Framework                                | DotNet
Project                                  | Single
VisiWin.S7_TIA.Brw.dll           | 3.0.1.52(Debug=False)
VisiWin.Browser.Components.Shared.dll | 7.0.0.39(Debug=False)

Meldungen
08.10.2020 10:49:07   | Meldung | Achtung: Einige Variablen im SPS-Projekt beinhalten Sonderzeichen. | TIAParser.FormatName() | 
08.10.2020 10:49:07   | Meldung | Der Datentyp "S7_WString" des Items "RFC_RFC_Beschichtung.Sollw"Rezept Name"" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:07   | Meldung | Der Datentyp "S7_Any" des Items "PLC.Blocks.3 Modul 1 ZF MA Auskippen.08 Manipulator.03 Mani Arm.Wechsel fahren nach_DB.Fahre nach Aufträge" wird nicht unterstützt! | TIAParser.CreateItemInfo() | 
08.10.2020 10:49:07   | Meldung | Der Datentyp "S7_Any" des Items "RFC_IDB ZF MA Ak Störerfassung.IDB Sammelmeldung"Störungen ohne Teilstart"" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:07   | Meldung | Der Datentyp "S7_Any" des Items "RFC_IDB ZF MA Ak Störerfassung.IDB Sammelmeldung"Störung Teilstart"" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:07   | Meldung | Der Datentyp "S7_Any" des Items "RFC_IDB ZF MA Ak Störerfassung.IDB SammelmeldungBedienerführungen" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:07   | Meldung | Der Datentyp "S7_Any" des Items "RFC_IDB Materialverfolgung.FiFo mit erkennung der längen"Erste Datenstruktur aus FiFo DB"" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:07   | Meldung | Der Datentyp "S7_Any" des Items "RFC_IDB Materialverfolgung.FiFo mit erkennung der längen"Gesamte Datenstruktur aus FiFo DB"" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:07   | Meldung | Der Datentyp "S7_Any" des Items "RFC_IDB Materialverfolgung.FiFo mit erkennung der längen"Datenstruktur aus Quelle / lösch DB"" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:07   | Meldung | Der Datentyp "S7_Pointer" des Items "RFC_IDB Materialverfolgung.Kühlzonen TrackingTablett" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:07   | Meldung | Der Datentyp "S7_Pointer" des Items "RFC_IDB Materialverfolgung.Ofen TrackingTablett" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:07   | Meldung | Der Datentyp "S7_Any" des Items "RFC_IDB Allgemein Gesamte Anlage Störerfassung.IDB Sammelmeldung"Störungen ohne Teilstart"" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:07   | Meldung | Der Datentyp "S7_Any" des Items "RFC_IDB Allgemein Gesamte Anlage Störerfassung.IDB Sammelmeldung"Störung Teilstart"" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
